ENSMUSG00000045252|Zfp574
ENSMUSG00000004319|Clcn3
ENSMUSG00000020850|Prpf8
ENSMUSG00000062040|Zfp27
ENSMUSG00000010277|2610507B11Rik
ENSMUSG00000027357|Crls1
ENSMUSG00000032763|Ilvbl
ENSMUSG00000022414|Tab1
ENSMUSG00000035266|Helq
ENSMUSG00000032410|Xrn1
