ENSMUSG00000070003|Ssbp4
ENSMUSG00000026915|Strbp
ENSMUSG00000027905|Ddx20
ENSMUSG00000023452|Pisd
ENSMUSG00000032258|Lca5
ENSMUSG00000036752|Tubb4b
ENSMUSG00000053470|Kdm3a
ENSMUSG00000041915|Ammecr1l
ENSMUSG00000022186|Oxct1
ENSMUSG00000028367|Txn1
