ENSMUSG00000067942|Zfp160
ENSMUSG00000036686|Cc2d1a
ENSMUSG00000029836|Cbx3
ENSMUSG00000026064|Ptp4a1
ENSMUSG00000028643|Svbp
ENSMUSG00000040407|Akap9
ENSMUSG00000027742|Cog6
ENSMUSG00000038535|Zfp280d
ENSMUSG00000029500|Pgam5
ENSMUSG00000025532|Crcp
