ENSMUSG00000020109|Dnajb12
ENSMUSG00000024393|Prrc2a
ENSMUSG00000001627|Ifrd1
ENSMUSG00000044636|Csrnp2
ENSMUSG00000032386|Trip4
ENSMUSG00000054874|Pcnx3
ENSMUSG00000019947|Arid5b
ENSMUSG00000005575|Ube2m
ENSMUSG00000053333|Dis3l2
ENSMUSG00000045594|Glb1
