ENSMUSG00000059278|Naa38
ENSMUSG00000003438|Timm50
ENSMUSG00000061559|Wdr61
ENSMUSG00000061479|Snrpa
ENSMUSG00000005625|Psmd4
ENSMUSG00000030802|Bckdk
ENSMUSG00000028416|Bag1
ENSMUSG00000041459|Tardbp
ENSMUSG00000019373|Cops3
ENSMUSG00000029152|Ociad1
