ENSMUSG00000017778|Cox7c
ENSMUSG00000032480|Dhx30
ENSMUSG00000032479|Map4
ENSMUSG00000079477|Rab7
ENSMUSG00000031950|Gabarapl2
ENSMUSG00000079658|Eloc
ENSMUSG00000031839|Hsbp1
ENSMUSG00000079317|Trappc2
ENSMUSG00000029131|Dnajb6
ENSMUSG00000043542|Zc2hc1a
