ENSMUSG00000020520|Galnt10
ENSMUSG00000024238|Zeb1
ENSMUSG00000041598|Cdc42ep4
ENSMUSG00000019055|Plod1
ENSMUSG00000033149|Phldb2
ENSMUSG00000078349|AW011738
ENSMUSG00000024074|Crim1
ENSMUSG00000022261|Sdc2
ENSMUSG00000026421|Csrp1
ENSMUSG00000026620|Mark1
