ENSMUSG00000026988|Wdsub1
ENSMUSG00000026162|Nhej1
ENSMUSG00000039686|Zer1
ENSMUSG00000022337|Emc2
ENSMUSG00000031168|Ebp
ENSMUSG00000038141|Tmem181a
ENSMUSG00000079316|Rab9
ENSMUSG00000024193|Phf1
ENSMUSG00000021831|Ero1l
ENSMUSG00000037669|Ldah
