ENSMUSG00000040606|Kazn
ENSMUSG00000041605|5730559C18Rik
ENSMUSG00000034930|Rtkn
ENSMUSG00000020340|Cyfip2
ENSMUSG00000023044|Csad
ENSMUSG00000061436|Hipk2
ENSMUSG00000024975|Pdcd4
ENSMUSG00000064115|Cadm2
ENSMUSG00000019978|Epb41l2
ENSMUSG00000029033|Acap3
