ENSMUSG00000005615|Pcyt1a
ENSMUSG00000037791|Phf12
ENSMUSG00000070002|Ell
ENSMUSG00000040464|Gtpbp10
ENSMUSG00000037519|Ppfia1
ENSMUSG00000022668|Gtpbp8
ENSMUSG00000020807|4933427D14Rik
ENSMUSG00000026279|Thap4
ENSMUSG00000098923|Tmem185b
ENSMUSG00000020544|Cox11
