ENSMUSG00000021375|Kif13a
ENSMUSG00000042439|Zfp532
ENSMUSG00000030956|Fam53b
ENSMUSG00000021277|Traf3
ENSMUSG00000028962|Slc4a2
ENSMUSG00000026383|Epb41l5
ENSMUSG00000030770|Parva
ENSMUSG00000078429|Ctdsp2
ENSMUSG00000031381|Piga
ENSMUSG00000053646|Plxnb1
