ENSMUSG00000030313|Dennd5b
ENSMUSG00000021432|Slc35b3
ENSMUSG00000015747|Vps45
ENSMUSG00000045519|Zfp560
ENSMUSG00000026028|Trak2
ENSMUSG00000046667|Rbm12b1
ENSMUSG00000034042|Gpbp1l1
ENSMUSG00000021022|Ppp2r3c
ENSMUSG00000001767|Crnkl1
ENSMUSG00000020185|E2f7
