ENSMUSG00000030741|Spns1
ENSMUSG00000026150|Mff
ENSMUSG00000027429|Sec23b
ENSMUSG00000047084|Ngrn
ENSMUSG00000036372|Tmem258
ENSMUSG00000032381|Fam96a
ENSMUSG00000036613|Eipr1
ENSMUSG00000071657|Bscl2
ENSMUSG00000013973|Dedd
ENSMUSG00000028843|Sh3bgrl3
