ENSMUSG00000022120|Rnf219
ENSMUSG00000021911|Parg
ENSMUSG00000027739|Rab33b
ENSMUSG00000041241|Mul1
ENSMUSG00000029345|Tfip11
ENSMUSG00000022151|Ttc33
ENSMUSG00000030019|Fbxl14
ENSMUSG00000001280|Sp1
ENSMUSG00000013787|Ehmt2
ENSMUSG00000000884|Gnb1l
