ENSMUSG00000062683|Atp5g2
ENSMUSG00000025997|Ikzf2
ENSMUSG00000055044|Pdlim1
ENSMUSG00000019478|Rab4a
ENSMUSG00000057836|Xlr3a
ENSMUSG00000035376|Hacd2
ENSMUSG00000021728|Emb
ENSMUSG00000032902|Slc16a1
ENSMUSG00000028179|Cth
ENSMUSG00000047407|Tgif1
