ENSMUSG00000027002|Nckap1
ENSMUSG00000020694|Tlk2
ENSMUSG00000045039|Megf8
ENSMUSG00000098188|Sowahc
ENSMUSG00000020412|Ascc2
ENSMUSG00000039117|Taf4
ENSMUSG00000017843|Ppp2r5c
ENSMUSG00000030410|Dmwd
ENSMUSG00000033902|Mapkbp1
ENSMUSG00000033883|D3Ertd254e
