ENSMUSG00000027108|Ola1
ENSMUSG00000041319|Thoc6
ENSMUSG00000005410|Mcm5
ENSMUSG00000041840|Haus1
ENSMUSG00000028964|Park7
ENSMUSG00000021938|Pspc1
ENSMUSG00000027613|Eif6
ENSMUSG00000004285|Atp6v1f
ENSMUSG00000040034|Nup43
ENSMUSG00000056459|Zbtb25
