ENSMUSG00000078435|AU041133
ENSMUSG00000028582|Cc2d1b
ENSMUSG00000031996|Aplp2
ENSMUSG00000053510|Nrd1
ENSMUSG00000069045|Ddx3y
ENSMUSG00000041769|Ppp2r2d
ENSMUSG00000059263|Usp47
ENSMUSG00000054469|Lclat1
ENSMUSG00000048720|Tbc1d12
ENSMUSG00000020321|Mdh1
