ENSMUSG00000037089|Slc35b2
ENSMUSG00000052459|Atp6v1a
ENSMUSG00000025730|Rab40c
ENSMUSG00000002812|Flii
ENSMUSG00000047434|Xxylt1
ENSMUSG00000019810|Fuca2
ENSMUSG00000053950|Adnp2
ENSMUSG00000058486|Wdr91
ENSMUSG00000032046|Abhd12
ENSMUSG00000002103|Acp2
