ENSMUSG00000097079|Gm26604
ENSMUSG00000047557|Lxn
ENSMUSG00000022489|Pde1b
ENSMUSG00000024640|Psat1
ENSMUSG00000024507|Hsd17b4
ENSMUSG00000078773|Rad54b
ENSMUSG00000007080|Pole
ENSMUSG00000021010|Npas3
ENSMUSG00000034653|Ythdc2
ENSMUSG00000013089|Etv5
