ENSMUSG00000026511|Srp9
ENSMUSG00000092341|Malat1
ENSMUSG00000020964|Sel1l
ENSMUSG00000027784|Ppm1l
ENSMUSG00000002342|Tmem161a
ENSMUSG00000024072|Yipf4
ENSMUSG00000062762|Ei24
ENSMUSG00000026385|Dbi
ENSMUSG00000032320|Rcn2
ENSMUSG00000028556|Dock7
