ENSMUSG00000030493|Faap24
ENSMUSG00000028278|Rragd
ENSMUSG00000093904|Tomm20
ENSMUSG00000060950|Trmt61a
ENSMUSG00000028089|Chd1l
ENSMUSG00000075232|Amd1
ENSMUSG00000017561|Crlf3
ENSMUSG00000025937|Lactb2
ENSMUSG00000030189|Ybx3
ENSMUSG00000095567|Noc2l
