ENSMUSG00000047897|Ripply2
ENSMUSG00000014980|Tsen15
ENSMUSG00000021048|Mthfd1
ENSMUSG00000031093|Dock11
ENSMUSG00000051323|Pcdh19
ENSMUSG00000040749|Siah1b
ENSMUSG00000061024|Rrs1
ENSMUSG00000038335|Tsr1
ENSMUSG00000039356|Exosc2
ENSMUSG00000030435|U2af2
