ENSMUSG00000031903|Pla2g15
ENSMUSG00000032512|Wdr48
ENSMUSG00000032633|Flcn
ENSMUSG00000034430|Zxdc
ENSMUSG00000021036|Sptlc2
ENSMUSG00000079003|Samd1
ENSMUSG00000027086|Fastkd1
ENSMUSG00000014418|Hps5
ENSMUSG00000036534|Slc38a7
ENSMUSG00000020549|Elac2
