ENSMUSG00000038894|Irs2
ENSMUSG00000038740|Mvb12b
ENSMUSG00000031709|Tbc1d9
ENSMUSG00000024413|Npc1
ENSMUSG00000021990|Spata13
ENSMUSG00000039156|Stim2
ENSMUSG00000039952|Dag1
ENSMUSG00000040003|Magi2
ENSMUSG00000042035|Igsf3
ENSMUSG00000038679|Trps1
