ENSMUSG00000040006|Ginm1
ENSMUSG00000040506|Ambra1
ENSMUSG00000046556|Zfp319
ENSMUSG00000029577|Ube3b
ENSMUSG00000052763|Zfp212
ENSMUSG00000036180|Gatad2a
ENSMUSG00000010045|Tmem115
ENSMUSG00000010047|Hyal2
ENSMUSG00000041890|Git2
ENSMUSG00000027522|Stx16
