ENSMUSG00000068479|Mfap1a
ENSMUSG00000024253|Dync2li1
ENSMUSG00000022787|Wdr53
ENSMUSG00000044442|N6amt1
ENSMUSG00000050930|Map10
ENSMUSG00000030452|Nipa2
ENSMUSG00000057156|Homez
ENSMUSG00000027194|Ttc17
ENSMUSG00000068264|Ap5s1
ENSMUSG00000097392|D930016D06Rik
