ENSMUSG00000024891|Slc29a2
ENSMUSG00000001482|Def8
ENSMUSG00000032279|Idh3a
ENSMUSG00000021576|Pdcd6
ENSMUSG00000016308|Ube2a
ENSMUSG00000050071|Bex1
ENSMUSG00000020781|Tsen54
ENSMUSG00000024091|Vapa
ENSMUSG00000023972|Ptk7
ENSMUSG00000003662|Ciao1
