ENSMUSG00000042496|Prdm10
ENSMUSG00000031400|G6pdx
ENSMUSG00000040699|Limd2
ENSMUSG00000015733|Capza2
ENSMUSG00000023973|Cnpy3
ENSMUSG00000079426|Arpc4
ENSMUSG00000037905|Bri3bp
ENSMUSG00000030707|Coro1a
ENSMUSG00000060802|B2m
ENSMUSG00000030965|Abraxas2
