ENSMUSG00000029209|Gnpda2
ENSMUSG00000040410|Fbxl4
ENSMUSG00000035936|Aldh5a1
ENSMUSG00000052629|Gm9885
ENSMUSG00000001435|Col18a1
ENSMUSG00000032334|Loxl1
ENSMUSG00000097326|A330048O09Rik
ENSMUSG00000039323|Igfbp2
ENSMUSG00000028909|Ptpru
ENSMUSG00000031217|Efnb1
