ENSMUSG00000063511|Snrnp70
ENSMUSG00000039128|Cdc123
ENSMUSG00000027804|Ppid
ENSMUSG00000039660|Spout1
ENSMUSG00000028693|Nasp
ENSMUSG00000028107|Tars2
ENSMUSG00000020224|Llph
ENSMUSG00000033931|Rbm34
ENSMUSG00000035443|Thyn1
ENSMUSG00000001783|Rtcb
