ENSMUSG00000014554|Dguok
ENSMUSG00000042712|Tceal9
ENSMUSG00000030245|Golt1b
ENSMUSG00000015889|Lta4h
ENSMUSG00000021486|Prelid1
ENSMUSG00000034343|Ube2f
ENSMUSG00000032575|Manf
ENSMUSG00000018481|Appbp2
ENSMUSG00000038412|Higd1a
ENSMUSG00000022519|Srl
