ENSMUSG00000070462|Tlnrd1
ENSMUSG00000029106|Add1
ENSMUSG00000032398|Snapc5
ENSMUSG00000037395|Rcor3
ENSMUSG00000098702|1500015A07Rik
ENSMUSG00000037243|Zfp692
ENSMUSG00000044098|Rsbn1
ENSMUSG00000047284|Neurl4
ENSMUSG00000061118|Dnajc30
ENSMUSG00000022201|Zfr
