ENSMUSG00000037353|Letmd1
ENSMUSG00000020948|Klhl28
ENSMUSG00000027012|Dync1i2
ENSMUSG00000063146|Clip2
ENSMUSG00000022789|Dnm1l
ENSMUSG00000000581|C1d
ENSMUSG00000022800|Fyttd1
ENSMUSG00000020230|Prmt2
ENSMUSG00000022404|Slc25a17
ENSMUSG00000063047|Zfp780b
