ENSMUSG00000020817|Rabep1
ENSMUSG00000044847|Lsm11
ENSMUSG00000015759|Cnih1
ENSMUSG00000036707|Cab39
ENSMUSG00000031617|Tmem184c
ENSMUSG00000075033|Nxpe3
ENSMUSG00000005362|Crbn
ENSMUSG00000050812|AI314180
ENSMUSG00000022463|Srebf2
ENSMUSG00000042428|Mgat3
