ENSMUSG00000026864|Hspa5
ENSMUSG00000027248|Pdia3
ENSMUSG00000042505|Sdhaf3
ENSMUSG00000021635|Rad17
ENSMUSG00000020280|Pus10
ENSMUSG00000004788|Eif2b2
ENSMUSG00000026739|Bmi1
ENSMUSG00000035585|Tsen34
ENSMUSG00000020086|H2afy2
ENSMUSG00000055069|Rab39
