ENSMUSG00000003923|Tfam
ENSMUSG00000030846|Tial1
ENSMUSG00000032249|Anp32a
ENSMUSG00000028948|Nol9
ENSMUSG00000063800|Prpf38a
ENSMUSG00000024742|Fen1
ENSMUSG00000063785|Utp14a
ENSMUSG00000067722|BC003965
ENSMUSG00000064030|Pym1
ENSMUSG00000024528|Srfbp1
