ENSMUSG00000029363|Rfc5
ENSMUSG00000031155|Pim2
ENSMUSG00000022724|Riox2
ENSMUSG00000002068|Ccne1
ENSMUSG00000086468|Etaa1os
ENSMUSG00000032892|Rangrf
ENSMUSG00000036202|Rif1
ENSMUSG00000000409|Lck
ENSMUSG00000024791|Cdca5
ENSMUSG00000030268|Bcat1
