ENSMUSG00000034336|Ina
ENSMUSG00000003992|Ssbp2
ENSMUSG00000064125|Prr36
ENSMUSG00000049336|Tenm2
ENSMUSG00000047786|Lix1
ENSMUSG00000097577|6230400D17Rik
ENSMUSG00000028176|Lrrc7
ENSMUSG00000020950|Foxg1
ENSMUSG00000092564|BC051226
ENSMUSG00000033849|B3galt2
