ENSMUSG00000065954|Tacc1
ENSMUSG00000040009|Gnaz
ENSMUSG00000054612|Mgmt
ENSMUSG00000030844|Rgs10
ENSMUSG00000042363|Lgalsl
ENSMUSG00000021371|Mcur1
ENSMUSG00000042328|Hps4
ENSMUSG00000035722|Abca7
ENSMUSG00000032802|Srxn1
ENSMUSG00000030342|Cd9
