ENSMUSG00000002486|Tchp
ENSMUSG00000023094|Msrb2
ENSMUSG00000034601|2700049A03Rik
ENSMUSG00000019295|Tmem129
ENSMUSG00000032314|Etfa
ENSMUSG00000044627|Swi5
ENSMUSG00000031860|Pbx4
ENSMUSG00000022604|Cep97
ENSMUSG00000021003|Galc
ENSMUSG00000034686|Prr7
