ENSMUSG00000030657|Xylt1
ENSMUSG00000027030|Stk39
ENSMUSG00000024347|Psd2
ENSMUSG00000035403|Crb2
ENSMUSG00000020393|Kremen1
ENSMUSG00000042757|Tmem108
ENSMUSG00000056749|Nfil3
ENSMUSG00000020044|Timp3
ENSMUSG00000037697|Ddhd1
ENSMUSG00000019817|Plagl1
