ENSMUSG00000030322|Mbd4
ENSMUSG00000097908|4933404O12Rik
ENSMUSG00000050410|Tcf19
ENSMUSG00000020649|Rrm2
ENSMUSG00000022369|Mtbp
ENSMUSG00000027454|Gins1
ENSMUSG00000022945|Chaf1b
ENSMUSG00000027490|E2f1
ENSMUSG00000044390|Tigd3
ENSMUSG00000044934|Zfp367
