ENSMUSG00000005981|Trap1
ENSMUSG00000024097|Srsf7
ENSMUSG00000026254|Eif4e2
ENSMUSG00000056310|Tyw1
ENSMUSG00000001674|Ddx18
ENSMUSG00000029111|Nelfa
ENSMUSG00000062647|Rpl7a
ENSMUSG00000080268|Brms1
ENSMUSG00000058558|Rpl5
ENSMUSG00000019857|Asf1a
