ENSMUSG00000026999|Nup35
ENSMUSG00000026087|Mrpl30
ENSMUSG00000026019|Wdr12
ENSMUSG00000024841|Eif1ad
ENSMUSG00000026615|Eprs
ENSMUSG00000025858|Get4
ENSMUSG00000025722|Wdr73
ENSMUSG00000028245|Nsmaf
ENSMUSG00000027637|1110008F13Rik
ENSMUSG00000025968|Ndufs1
