ENSMUSG00000057766|Ankrd29
ENSMUSG00000004933|Matk
ENSMUSG00000024873|Cnih2
ENSMUSG00000052584|Serp2
ENSMUSG00000043419|Chd3os
ENSMUSG00000033676|Gabrb3
ENSMUSG00000039717|Ralyl
ENSMUSG00000040907|Atp1a3
ENSMUSG00000024403|Atp6v1g2
ENSMUSG00000020894|Vamp2
