ENSMUSG00000002625|Akap8l
ENSMUSG00000020261|Slc36a1
ENSMUSG00000042104|Uggt2
ENSMUSG00000091811|Inafm1
ENSMUSG00000039530|Tusc3
ENSMUSG00000038500|Prr3
ENSMUSG00000022561|Gpaa1
ENSMUSG00000021076|Actr10
ENSMUSG00000074282|Zfp94
ENSMUSG00000037493|Cib2
