ENSMUSG00000040274|Cdk6
ENSMUSG00000026313|Hdac4
ENSMUSG00000050910|Cdr2l
ENSMUSG00000021365|Nedd9
ENSMUSG00000039202|Abhd2
ENSMUSG00000033059|Pygb
ENSMUSG00000037287|Tbcel
ENSMUSG00000070047|Fat1
ENSMUSG00000056124|B4galt6
ENSMUSG00000042613|Pbxip1
