ENSMUSG00000048186|Bend7
ENSMUSG00000112117|Rmst
ENSMUSG00000036002|Fam214b
ENSMUSG00000022790|Igsf11
ENSMUSG00000060538|Tmem219
ENSMUSG00000107283|Mpv17
ENSMUSG00000004936|Map2k1
ENSMUSG00000043929|Klhl15
ENSMUSG00000044340|Phlpp1
ENSMUSG00000055313|Pgbd1
