ENSMUSG00000019943|Atp2b1
ENSMUSG00000031791|Tmem38a
ENSMUSG00000054843|Atrnl1
ENSMUSG00000024112|Cacna1h
ENSMUSG00000021719|Rgs7bp
ENSMUSG00000024109|Nrxn1
ENSMUSG00000060240|Cend1
ENSMUSG00000026131|Dst
ENSMUSG00000046157|Tmem229b
ENSMUSG00000039661|Dusp26
