ENSMUSG00000048249|Crebrf
ENSMUSG00000037692|Ahdc1
ENSMUSG00000027312|Atrn
ENSMUSG00000028468|Rgp1
ENSMUSG00000024042|Sik1
ENSMUSG00000010453|Kansl3
ENSMUSG00000037622|Wdtc1
ENSMUSG00000029763|Exoc4
ENSMUSG00000028760|Eif4g3
ENSMUSG00000002028|Kmt2a
