ENSMUSG00000030917|Tmem159
ENSMUSG00000043391|2510009E07Rik
ENSMUSG00000063919|Srrm4
ENSMUSG00000046997|Spsb4
ENSMUSG00000036185|Sapcd1
ENSMUSG00000003233|Dvl3
ENSMUSG00000026675|Hsd17b7
ENSMUSG00000000202|Btbd17
ENSMUSG00000048015|Neurod4
ENSMUSG00000041592|Sdk2
