ENSMUSG00000018401|Mtmr4
ENSMUSG00000051306|Usp42
ENSMUSG00000061950|Ppp4r1
ENSMUSG00000020476|Dbnl
ENSMUSG00000062421|Arf2
ENSMUSG00000039531|Zufsp
ENSMUSG00000047766|Lrrc49
ENSMUSG00000007039|Ddah2
ENSMUSG00000034675|Dbn1
ENSMUSG00000052033|Pfdn4
