ENSMUSG00000025278|Flnb
ENSMUSG00000040433|Zbtb38
ENSMUSG00000021294|Kif26a
ENSMUSG00000024892|Pcx
ENSMUSG00000021745|Ptprg
ENSMUSG00000017418|Arl5b
ENSMUSG00000020220|Vps13d
ENSMUSG00000004328|Hif3a
ENSMUSG00000051339|2900026A02Rik
ENSMUSG00000042312|S100a13
