ENSMUSG00000003068|Stk11
ENSMUSG00000026578|Ccdc181
ENSMUSG00000014232|Cluap1
ENSMUSG00000036499|Eea1
ENSMUSG00000038205|Prkab2
ENSMUSG00000031644|Nek1
ENSMUSG00000020389|Cdkl3
ENSMUSG00000020375|Rufy1
ENSMUSG00000106918|Mrpl33
ENSMUSG00000013822|Elof1
