ENSMUSG00000022110|Sucla2
ENSMUSG00000020441|2310033P09Rik
ENSMUSG00000020471|Pold2
ENSMUSG00000056851|Pcbp2
ENSMUSG00000066900|Suds3
ENSMUSG00000028293|Slc35a1
ENSMUSG00000012535|Tnpo3
ENSMUSG00000020755|Sap30bp
ENSMUSG00000032547|Ryk
ENSMUSG00000021103|Mnat1
