ENSMUSG00000075254|Heg1
ENSMUSG00000017756|Slc12a7
ENSMUSG00000038007|Acer2
ENSMUSG00000027111|Itga6
ENSMUSG00000038587|Akap12
ENSMUSG00000056313|Tcim
ENSMUSG00000027217|Tspan18
ENSMUSG00000026305|Lrrfip1
ENSMUSG00000038855|Itpkb
ENSMUSG00000053113|Socs3
