ENSMUSG00000053929|Cyhr1
ENSMUSG00000038250|Usp38
ENSMUSG00000022685|Parn
ENSMUSG00000031358|Msl3
ENSMUSG00000021072|Tmx1
ENSMUSG00000005881|Ergic3
ENSMUSG00000050394|Armcx6
ENSMUSG00000026667|Uhmk1
ENSMUSG00000031976|Urb2
ENSMUSG00000026339|Ccdc93
