ENSMUSG00000091803|Cox16
ENSMUSG00000045316|Fahd1
ENSMUSG00000063856|Gpx1
ENSMUSG00000014547|Wdfy2
ENSMUSG00000024190|Dusp1
ENSMUSG00000015357|Clpx
ENSMUSG00000022951|Rcan1
ENSMUSG00000057672|Pkn1
ENSMUSG00000032501|Trib1
ENSMUSG00000040414|Slc25a28
