ENSMUSG00000078670|Fam174b
ENSMUSG00000039385|Cdh6
ENSMUSG00000063446|Plppr1
ENSMUSG00000031099|Smarca1
ENSMUSG00000029193|Cckar
ENSMUSG00000030064|Frmd4b
ENSMUSG00000006800|Sulf2
ENSMUSG00000024593|Megf10
ENSMUSG00000090122|Kcne1l
ENSMUSG00000060923|Acyp2
