ENSMUSG00000048307|Ankrd46
ENSMUSG00000038936|Sccpdh
ENSMUSG00000031728|Zfp821
ENSMUSG00000092416|Zfp141
ENSMUSG00000036873|2410004B18Rik
ENSMUSG00000024830|Rps6kb2
ENSMUSG00000025950|Idh1
ENSMUSG00000026135|Zfp142
ENSMUSG00000039233|Tbce
ENSMUSG00000020740|Gga3
