ENSMUSG00000026278|Bok
ENSMUSG00000024299|Adamts10
ENSMUSG00000035199|Arl6ip5
ENSMUSG00000024927|Rela
ENSMUSG00000026544|Dusp23
ENSMUSG00000022634|Yaf2
ENSMUSG00000017615|Tnfaip1
ENSMUSG00000044066|Cep68
ENSMUSG00000051355|Commd1
ENSMUSG00000034158|Lrrc58
