ENSMUSG00000037466|Tedc1
ENSMUSG00000059447|Hadhb
ENSMUSG00000028524|Sgip1
ENSMUSG00000020570|Sypl
ENSMUSG00000034295|Fhod3
ENSMUSG00000020541|Tom1l1
ENSMUSG00000050447|Lypd6
ENSMUSG00000029201|Ugdh
ENSMUSG00000042680|Garem1
ENSMUSG00000024227|Pdzph1
