ENSMUSG00000001039|B9d1
ENSMUSG00000028998|Tomm7
ENSMUSG00000021540|Smad5
ENSMUSG00000023169|Slc38a1
ENSMUSG00000033282|Rpgrip1l
ENSMUSG00000061175|Fnip2
ENSMUSG00000026851|BC005624
ENSMUSG00000020196|Cabin1
ENSMUSG00000015289|Lage3
ENSMUSG00000005621|Zfp592
